o.s.n,candidate,party,evm_votes,postal_votes,total_votes,percent_votes,constituency
1,JAI PRAKASH AGARWAL,Indian National Congress,290689,221,290910,29.67,CHANDNI CHOWK
2,PANKAJ KUMAR GUPTA,Aam Aadmi Party,144447,104,144551,14.74,CHANDNI CHOWK
3,SHAHID ALI,Bahujan Samaj Party,9013,13,9026,0.92,CHANDNI CHOWK
4,HARSH VARDHAN,Bharatiya Janata Party,517939,1116,519055,52.94,CHANDNI CHOWK
5,ANIL KUMAR,Rashtriya Rashtrawadi Party,1436,0,1436,0.15,CHANDNI CHOWK
6,ASHOK KUMAR,Republican Party of India (A),273,0,273,0.03,CHANDNI CHOWK
7,INDER SEN,Rashtriya Samrasta Party,216,0,216,0.02,CHANDNI CHOWK
8,MOHD. IRFAN JAVED QURESHI,Ekta Samaj Party,1270,0,1270,0.13,CHANDNI CHOWK
9,KAMAL KISHOR,Peoples Party of India (Democratic),331,1,332,0.03,CHANDNI CHOWK
10,DEEPTI CHOPRA,Prism,233,0,233,0.02,CHANDNI CHOWK
11,DHEER SINGH,Rashtriya Jansambhavna Party,249,0,249,0.03,CHANDNI CHOWK
12,RAVINDRA,Kanshiram Bahujan Dal,369,0,369,0.04,CHANDNI CHOWK
13,RICHA KATIYAR KANAUJIA,Right to Recall Party,474,1,475,0.05,CHANDNI CHOWK
14,VISHAL KHANNA,Sanatan Sanskriti Raksha Dal,485,0,485,0.05,CHANDNI CHOWK
15,VIRENDER PRATAP SINGH,Aapki Apni Party (Peoples),741,3,744,0.08,CHANDNI CHOWK
16,SHARESTHA ARORA,Mazdoor Kirayedar Vikas Party,1143,0,1143,0.12,CHANDNI CHOWK
17,SATDEV JAIN,"Proutist Bloc, India",1215,0,1215,0.12,CHANDNI CHOWK
18,SAMEER MIRZA,Bharat Prabhat Party,423,1,424,0.04,CHANDNI CHOWK
19,SUMAN DEVI,Bharat Lok Sewak Party,236,0,236,0.02,CHANDNI CHOWK
20,SOHAN LAL SHARMA,Rashtra Nirman Party,501,0,501,0.05,CHANDNI CHOWK
21,SAURABH RANJAN,Pyramid Party of India,243,0,243,0.02,CHANDNI CHOWK
22,JUGAL KISHOR,Independent,268,0,268,0.03,CHANDNI CHOWK
23,PANKAJ GUPTA,Independent,670,0,670,0.07,CHANDNI CHOWK
24,FARHA DEEBA,Independent,241,0,241,0.02,CHANDNI CHOWK
25,MUNNA LAL,Independent,393,0,393,0.04,CHANDNI CHOWK
26,RAVI KUMAR,Independent,299,0,299,0.03,CHANDNI CHOWK
